Date,Price,Price_scaled
"Monday, February 20, 2023",6599,0.6599
"Tuesday, February 21, 2023",6599,0.6599
"Wednesday, February 22, 2023",6599,0.6599
"Thursday, February 23, 2023",6768,0.6768
"Friday, February 24, 2023",6768,0.6768
"Saturday, February 25, 2023",6768,0.6768
"Sunday, February 26, 2023",6768,0.6768
"Monday, February 27, 2023",6768,0.6768
"Tuesday, February 28, 2023",6768,0.6768
"Wednesday, March 1, 2023",6768,0.6768
"Thursday, March 2, 2023",6768,0.6768
"Friday, March 3, 2023",6599,0.6599
"Saturday, March 4, 2023",6799,0.6799
"Sunday, March 5, 2023",6799,0.6799
"Monday, March 6, 2023",6799,0.6799
"Tuesday, March 7, 2023",6799,0.6799
"Wednesday, March 8, 2023",6799,0.6799
"Thursday, March 9, 2023",6799,0.6799
"Friday, March 10, 2023",6840,0.684
"Saturday, March 11, 2023",6840,0.684
"Sunday, March 12, 2023",6840,0.684
"Monday, March 13, 2023",6840,0.684
"Tuesday, March 14, 2023",6840,0.684
"Wednesday, March 15, 2023",6840,0.684
"Thursday, March 16, 2023",6840,0.684
"Friday, March 17, 2023",6840,0.684
"Saturday, March 18, 2023",6840,0.684
"Sunday, March 19, 2023",6840,0.684
"Monday, March 20, 2023",6840,0.684
"Tuesday, March 21, 2023",6840,0.684
"Wednesday, March 22, 2023",6799,0.6799
"Thursday, March 23, 2023",6799,0.6799
"Friday, March 24, 2023",6799,0.6799
"Saturday, March 25, 2023",6799,0.6799
"Sunday, March 26, 2023",6799,0.6799
"Monday, March 27, 2023",6731,0.6731
"Tuesday, March 28, 2023",6731,0.6731
"Wednesday, March 29, 2023",6729,0.6729
"Thursday, March 30, 2023",6475,0.6475
"Friday, March 31, 2023",6475,0.6475
"Saturday, April 1, 2023",6508,0.6508
"Sunday, April 2, 2023",6508,0.6508
"Monday, April 3, 2023",6599,0.6599
"Tuesday, April 4, 2023",6599,0.6599
"Wednesday, April 5, 2023",6772,0.6772
"Thursday, April 6, 2023",6782,0.6782
"Friday, April 7, 2023",6953,0.6953
"Saturday, April 8, 2023",7048,0.7048
"Sunday, April 9, 2023",7048,0.7048
"Monday, April 10, 2023",7048,0.7048
"Tuesday, April 11, 2023",7048,0.7048
"Wednesday, April 12, 2023",6899,0.6899
"Thursday, April 13, 2023",6899,0.6899
"Friday, April 14, 2023",6899,0.6899
"Saturday, April 15, 2023",6899,0.6899
"Sunday, April 16, 2023",6924,0.6924
"Monday, April 17, 2023",6899,0.6899
"Tuesday, April 18, 2023",7099,0.7099
"Wednesday, April 19, 2023",7080,0.708
"Thursday, April 20, 2023",7069,0.7069
"Friday, April 21, 2023",7049,0.7049
"Saturday, April 22, 2023",7049,0.7049
"Sunday, April 23, 2023",7049,0.7049
"Monday, April 24, 2023",7239,0.7239
"Tuesday, April 25, 2023",7169,0.7169
"Wednesday, April 26, 2023",7099,0.7099
"Thursday, April 27, 2023",7099,0.7099
"Friday, April 28, 2023",7099,0.7099
"Saturday, April 29, 2023",6999,0.6999
"Sunday, April 30, 2023",6999,0.6999
"Monday, May 1, 2023",6999,0.6999
"Tuesday, May 2, 2023",6999,0.6999
"Wednesday, May 3, 2023",6999,0.6999
"Thursday, May 4, 2023",6999,0.6999
"Friday, May 5, 2023",7148,0.7148
"Saturday, May 6, 2023",7148,0.7148
"Sunday, May 7, 2023",7148,0.7148
"Monday, May 8, 2023",7148,0.7148
"Tuesday, May 9, 2023",7148,0.7148
"Wednesday, May 10, 2023",7148,0.7148
"Thursday, May 11, 2023",7148,0.7148
"Friday, May 12, 2023",7148,0.7148
"Saturday, May 13, 2023",7235,0.7235
